net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,industries,self_made,cpi_country,cpi_change_country,gdp_country,life_expectancy_country
18.9,Qin Yinglin,57,Male,China,China,Nanyang,Food & Beverage,TRUE,125.08,2.9,19.91,77
18.7,Wang Chuanfu,57,Male,China,China,Shenzhen,Automotive,TRUE,125.08,2.9,19.91,77
18.5,Harold Hamm & family,77,Male,United States,United States,Oklahoma City,Energy,TRUE,117.24,7.5,21.4277,78.5
18.5,David Tepper,65,Male,United States,United States,Palm Beach,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
18.5,Gennady Timchenko,70,Male,Russia,Russia,Moscow,Energy,TRUE,180.75,4.5,1.699876579,72.7
18,Daniel Gilbert,61,Male,United States,United States,Franklin,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
17.7,Lakshmi Mittal,72,Male,India,United Kingdom,London,Metals & Mining,FALSE,119.62,1.7,2.827113185,81.3
17.5,Steve Cohen,66,Male,United States,United States,Greenwich,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
17.5,Carl Icahn,87,Male,United States,United States,Indian Creek,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
17.5,Savitri Jindal & family,73,Female,India,India,Hisar,Metals & Mining,FALSE,180.44,7.7,2.611,69.4
17.4,Donald Bren,90,Male,United States,United States,Newport Beach,Real Estate,TRUE,117.24,7.5,21.4277,78.5
17.4,"John Menard, Jr.",83,Male,United States,United States,Eau Claire,Fashion & Retail,TRUE,117.24,7.5,21.4277,78.5
17.1,Rupert Murdoch & family,92,Male,United States,United States,New York,Media & Entertainment,FALSE,117.24,7.5,21.4277,78.5
16.7,Vicky Safra & family,70,Female,Brazil,Switzerland,Crans-Montana,Finance & Investments,FALSE,99.55,0.4,0.703082435,83.6
16.5,"Theo Albrecht, Jr. & family",72,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,FALSE,112.85,1.4,3.845630031,80.9
16.5,Renata Kellnerova & family,55,Female,Czech Republic,Czech Republic,Prague,Finance & Investments,FALSE,116.48,2.8,0.246489245,79
16.3,Li Xiting,72,Male,Singapore,China,Shenzhen,Healthcare,TRUE,125.08,2.9,19.91,77
16.2,Stefan Persson,75,Male,Sweden,Sweden,Stockholm,Fashion & Retail,FALSE,110.51,1.8,0.530832909,82.5
16.2,Eric Schmidt,67,Male,United States,United States,Atherton,Technology,TRUE,117.24,7.5,21.4277,78.5
16,Michael Platt,55,Male,United Kingdom,Switzerland,Geneva,Finance & Investments,TRUE,99.55,0.4,0.703082435,83.6
15.9,Pang Kang,67,Male,China,China,Foshan,Food & Beverage,TRUE,125.08,2.9,19.91,77
15.8,Karl Albrecht Jr. & family,NA,Male,Germany,Germany,NA,Fashion & Retail,FALSE,112.85,1.4,3.845630031,80.9
15.8,Beate Heister,NA,Female,Germany,NA,NA,Fashion & Retail,FALSE,NA,NA,NA,NA
15.8,Jorge Paulo Lemann & family,83,Male,Brazil,Switzerland,Zurich,Food & Beverage,TRUE,99.55,0.4,0.703082435,83.6
15.8,Peter Woo,76,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,FALSE,NA,NA,NA,NA
15.6,Dilip Shanghvi,67,Male,India,India,Mumbai,Healthcare,TRUE,180.44,7.7,2.611,69.4
15.5,Robert Pera,45,Male,United States,United States,San Jose,Technology,TRUE,117.24,7.5,21.4277,78.5
15.3,Radhakishan Damani,68,Male,India,India,Mumbai,Fashion & Retail,TRUE,180.44,7.7,2.611,69.4
15.2,Huang Shilin,56,Male,China,China,Ningde,Automotive,TRUE,125.08,2.9,19.91,77
14.9,Dhanin Chearavanont,83,Male,Thailand,Thailand,Bangkok,Diversified,FALSE,113.27,0.7,0.543649976,76.9
14.9,David Green & family,81,Male,United States,United States,Oklahoma City,Fashion & Retail,TRUE,117.24,7.5,21.4277,78.5
14.8,Charoen Sirivadhanabhakdi,78,Male,Thailand,Thailand,Bangkok,Food & Beverage,TRUE,113.27,0.7,0.543649976,76.9
14.7,Charlene de Carvalho-Heineken & family,68,Female,Netherlands,United Kingdom,London,Food & Beverage,FALSE,119.62,1.7,2.827113185,81.3
14.6,Xu Hang,60,Male,Hong Kong,China,Shenzhen,Healthcare,TRUE,125.08,2.9,19.91,77
14.5,Wei Jianjun & family,59,Male,China,China,Baoding,Automotive,TRUE,125.08,2.9,19.91,77
14.4,Alisher Usmanov,69,Male,Russia,Uzbekistan,Tashkent,Metals & Mining,TRUE,NA,NA,0.057921286,71.6
14.3,Goh Cheng Liang,95,Male,Singapore,Singapore,Singapore,Manufacturing,TRUE,114.41,0.6,0.372062527,83.1
14.2,Kumar Birla,55,Male,India,India,Mumbai,Diversified,FALSE,180.44,7.7,2.611,69.4
14.2,Aliko Dangote,65,Male,Nigeria,Nigeria,Lagos,Manufacturing,TRUE,267.51,11.4,0.448120429,54.3
14.1,Kwong Siu-hing,93,Female,Hong Kong,Hong Kong,Hong Kong,Real Estate,FALSE,NA,NA,NA,NA
14,Idan Ofer,67,Male,Israel,United Kingdom,London,Diversified,FALSE,119.62,1.7,2.827113185,81.3
